Maybe	O
we	O
will	O
all	O
have	O
to	O
go	O
on	O
strike	O
until	O
we	O
get	O
paid	O
what	O
we	O
want.	O

He	O
is	O
a	O
professor	O
of	O
Vocational	O
Training	O
and	O
a	O
civil	O
worker	O
at	O
the	O
Department	O
of	O
Education.	O
Since	O
1999	O
he	O
was	O
also	O
councillor	O
at	O
the	O
City	O
Hall	O
in	O
Malpartida,	O
Cáceres,	O
and	O
First	O
Deputy	O
Mayor	O
since	O
2007.	O

Two	O
hours	O
later	O
it	O
was	O
under	O
control,	O
but	O
the	O
cause	O
is	O
not	O
yet	O
known.	O

They	O
call	O
themselves	O
journalists	O
and	O
they	O
believe	O
they	O
are	O
doing	O
social	O
work,	O
but	O
the	O
only	O
thing	O
they	O
do	O
is	O
turn	B-METAPHOR
people	O
into	O
idiots	O
with	O
their	O
bullshit	B-METAPHOR
information.	O

Therefore,	O
one	O
day	O
he	O
explodes,	B-METAPHOR
and	O
on	O
the	O
back	O
of	O
his	O
imagination,	O
reaches	O
a	O
strange	O
island	O
where	O
a	O
handful	O
of	O
monsters	O
make	O
him	O
his	O
king.	O

According	O
to	O
this	O
association,	O
nearly	O
200,000	O
animals	O
are	O
abandoned	O
in	O
Spain	O
every	O
year,	O
and	O
"many	O
of	O
them	O
suffer	O
abuse."	O

The	O
company	O
is	O
not	O
yours.	O

The	O
capital’s	O
city	O
council	O
highlighted	B-METAPHOR
the	O
importance	O
of	O
this	O
court	O
decision	O
in	O
the	O
fight	B-METAPHOR
against	O
vandalism.	O

The	O
first	O
is	O
a	O
juicy	B-METAPHOR
severance	O
package	O
of	O
85	O
days	O
per	O
year	O
worked,	O
already	O
agreed	O
upon,	O
with	O
no	O
limit	O
on	O
seniority	O
(the	O
average	O
is	O
around	B-METAPHOR
15	O
years	O
and	O
the	O
gross	O
salary,	O
1,200	O
euros)	O

Thus,	O
"suddenly"	O
two	O
hooded	O
persons	O
appeared.	O
They	O
were	O
completely	O
covered,	O
concealed	O
with	O
balaclavas	O
and	O
sunglasses.	O

Some	O
even	O
say	O
I	O
work	O
for	O
the	O
CIA,	O
others	O
that	O
I	O
work	O
for	O
the	O
Mosad,	O
and	O
now	O
for	O
Microsoft.	O

The	O
technician	O
is	O
hopeful	O
that	O
Torres	O
will	O
return	O
to	O
his	O
best	O
form.	O

The	O
third	O
television	O
personality	O
in	O
disagreement	O
is	O
Paco	O
León,	O
Aída's	O
indescribable	O
brother	O
and	O
the	O
latest	O
discovery	O
on	O
the	O
small	O
screen,	O
as	O
far	O
as	O
comedians	O
go.	O

The	O
ABC	O
newspaper	O
will	O
premiere	O
the	O
remake	O
of	O
the	O
"P"	O
series	O
in	O
November.	O

Now	O
it	O
seems	O
that	O
Mª	O
Antonia	O
Iglesias	O
has	O
been	O
given	O
another	O
role.	B-METAPHOR

You	O
are	O
very	O
outgoing	O
and	O
open	B-METAPHOR
with	O
the	O
fans.	O

Good	O
luck	O
Rosanna,	O
and	O
hopefully	O
you	O
can	O
get	O
Quesito	O
back	O
to	O
health	O
soon.	O

One	O
day,	O
the	O
sport	O
itself,	O
in	O
the	O
mouth	O
of	O
so	O
many	O
children	O
who	O
are	O
starting	O
to	O
take	O
their	O
first	O
steps,	B-METAPHOR
will	O
thank	O
us.	O

And	O
this	O
good	O
man,	O
with	O
the	O
best	O
intentions	O
that	O
he	O
may	O
have	O
had,	O
messed	B-METAPHOR
up.	O

It	O
was	O
nothing	O
else.	O

He	O
obtained	O
the	O
original	O
material	O
thanks	O
to	O
his	O
contacts	O
in	O
leisure	O
establishments	O
and	O
bars,	O
who	O
sold	O
him	O
the	O
empty	O
bottles	O
with	O
the	O
original	O
seals	O
and	O
boxes.	O

The	O
vehicle	O
crashed	B-METAPHOR
against	O
the	O
median	O
at	O
the	O
Carlos	O
Haya	O
cut-and-cover	O
tunnel,	O
one	O
of	O
the	O
areas	O
where	O
bottlenecks	O
usually	O
form.	O

All	O
right,	O
let's	O
enable	O
spaces	O
for	O
people	O
to	O
destroy	B-METAPHOR
their	O
livers	O
without	O
disturbing	O
others.	O

For	O
this	O
reason,	O
condom	O
use	O
could	O
never	O
be	O
recommended;	O
because,	O
if	O
it	O
was,	O
it	O
would	O
mean	O
falling	B-METAPHOR
even	O
deeper	O
into	O
promoting	B-METAPHOR
the	O
horrific	O
vice	O
of	O
fornication,	O
which	O
could	O
be	O
practiced	O
just	O
the	O
same	O
by	O
single	O
and	O
married	O
people,	O
or	O
even	O
by	O
either	O
of	O
the	O
two	O
members	O
of	O
a	O
married	O
couple,	O
without	O
necessarily	O
having	O
to	O
sink	B-METAPHOR
to	O
committing	O
the	O
crime	O
of	O
adultery.	O

The	O
blockade,	O
as	O
it	O
has	O
been	O
shown,	O
has	O
only	O
served	O
to	O
harden	B-METAPHOR
and	O
perpetuate	B-METAPHOR
the	O
dictatorial	O
regime	O
(do	O
not	O
talk	O
to	O
me	O
about	O
the	O
left	O
or	O
the	O
right,	O
gives	O
me	O
laughter,	O
it	O
is	O
a	O
dictatorship,	O
period).	O

Currently,	O
three	O
out	O
of	O
four	O
pure-bred	O
Iberian	O
pigs	O
that	O
only	O
eat	O
acorns	O
slaughtered	O
during	O
the	O
last	O
season	O
are	O
5J.	O

THE	O
TRUTH	O
IS	O
ONLY	O
THIRD	O
COUNTRIES	O
AND	O
BANANA	O
REPUBLICS	O
DO	O
THIS,	O
THEY	O
DO	O
NOT	O
GIVE	O
A	O
FUCK	O
IF	O
WE	O
HAVE	O
TO	O
PAY	O
MORE	O
TO	O
RECEIVE	O
LESS,	O
AND	O
IN	O
THE	O
WORST	O
OF	O
CASES,	O
A	O
REALLY	O
BAD	O
SERVICE!!!	O

In	O
any	O
case,	O
not	O
even	O
Real	O
Madrid	O
nor	O
Sevilla	O
teams	O
will	O
reach	B-METAPHOR
the	O
Barcelona	O
team.	O

The	O
diplomat	O
made	O
the	O
announcement	O
three	O
days	O
after	O
the	O
president	O
of	O
Colombia,	O
Alvaro	O
Uribe,	O
asked	O
the	O
United	O
States	O
to	O
be	O
stricter	O
in	O
their	O
punishments	O
of	O
extradited	O
drug	O
traffickers,	O
in	O
an	O
unusual	O
rebuke	O
of	O
Washington’s	O
best	O
ally	O
in	O
Latin	O
America.	O

In	O
a	O
recording	O
session,	O
things	O
went	O
wrong,	O
as	O
reported	O
by	O
sources	B-METAPHOR
close	O
to	O
the	O
production	O
company.	O

Welcome	O
back	O
to	O
the	O
great	O
Kimi	O
Circus.	B-METAPHOR
F1	O
needs	O
great	B-METAPHOR
pilots,	O
like	O
Kimi.	O
It	O
can	O
be	O
really	O
fast,	O
and	O
just	O
with	O
a	O
bit	O
of	O
performance	O
from	O
Lotus	O
Kimi	O
will	O
be	O
there	O
giving	O
its	O
best.	O

HELSINKI	O
(Reuters)	O
-	O
A	O
Finnish	O
computer	O
engineer	O
who	O
lost	O
a	O
finger	O
in	O
a	O
motorbike	O
accident	O
has	O
found	O
another	O
use	O
for	O
the	O
prosthetic	O
finger	O
he	O
started	O
using:	O
a	O
USB	O
memory	O
stick.	O

It	O
is	O
an	O
enchanting	O
town	O
because	O
of	O
its	O
situation	O
and	O
ethnographic	O
elements,	O
but	O
we	O
mustn't	O
deceive	O
ourselves:	O
if	O
you	O
take	O
two	O
steps	B-METAPHOR
or	O
one	O
if	O
you	O
have	O
a	O
long	O
stride,	O
you	O
will	O
be	O
outside	B-METAPHOR
its	O
limits.	O

Now	O
it	O
only	O
works	O
in	O
Madrid,	O
where	O
116	O
men	O
wear	O
an	O
anti-abuse	O
bracelet.	O

It	O
is	O
a	O
very	O
long	O
journey	O
and	O
its	O
hard,	B-METAPHOR
but	O
you	O
come	O
out	O
of	O
it.	O

In	O
this	O
same	O
quarter,	O
the	O
two	O
courthouses	O
received	O
965	O
criminal	O
matters	O
and,	O
although	O
they	O
processed	O
996	O
(many	O
of	O
them	O
during	O
the	O
previous	O
periods	O
and	O
during	O
extra	O
hours),	O
at	O
the	O
end	O
