language	gold_label	sentence1	sentence2	promptID	pairID	genre	source_dataset
es	neutral	A ver si nos tenemos que poner todos en huelga hasta cobrar lo que queramos.	La huelga es el método de lucha más eficaz para conseguir mejoras en el salario.	1_esxnli	1_esxnli	newspaper	esxnli
es	entailment	Estos que se hacen llamar periodistas se creen que hacen una labor social y lo único que hacen es embrutecer a la gente con su mierda de información de cotillas de patio.	Estos que se hacen llamar periodistas no hacen más que embrutecer a la gente.	4_esxnli	10_esxnli	newspaper	esxnli
es	contradiction	Estos que se hacen llamar periodistas se creen que hacen una labor social y lo único que hacen es embrutecer a la gente con su mierda de información de cotillas de patio.	Los periodistas divulgan información veraz y contrastada, gracias a lo cual hacen una gran labor social.	4_esxnli	11_esxnli	newspaper	esxnli
es	neutral	Estos que se hacen llamar periodistas se creen que hacen una labor social y lo único que hacen es embrutecer a la gente con su mierda de información de cotillas de patio.	El periodismo es una profesión que tiene cada vez menos prestigio social.	4_esxnli	12_esxnli	newspaper	esxnli
es	entailment	Por eso, un buen día, explota, y a lomos de su imaginación alcanza una extraña isla donde un puñado de monstruos le convierten en su rey.	Se convierte en un rey imaginario.	5_esxnli	13_esxnli	newspaper	esxnli
es	contradiction	Por eso, un buen día, explota, y a lomos de su imaginación alcanza una extraña isla donde un puñado de monstruos le convierten en su rey.	Los monstruos de la isla imaginaria son republicanos.	5_esxnli	14_esxnli	newspaper	esxnli
es	neutral	Por eso, un buen día, explota, y a lomos de su imaginación alcanza una extraña isla donde un puñado de monstruos le convierten en su rey.	Hay cocoteros en la imaginaria isla.	5_esxnli	15_esxnli	newspaper	esxnli
es	entailment	El Ayuntamiento de la capital subrayó la relevancia de este fallo judicial para luchar contra el vandalismo.	El Ayuntamiento de la capital destacó la importancia de esta sentencia en la lucha contra el vandalismo.	8_esxnli	22_esxnli	newspaper	esxnli
es	contradiction	El Ayuntamiento de la capital subrayó la relevancia de este fallo judicial para luchar contra el vandalismo.	Según el Ayuntamiento de la capital este fallo judicial no tiene ninguna repercusión en la lucha contra el vandalismo.	8_esxnli	23_esxnli	newspaper	esxnli
es	neutral	El Ayuntamiento de la capital subrayó la relevancia de este fallo judicial para luchar contra el vandalismo.	Cada vez está más presente el vandalismo en las capitales.	8_esxnli	24_esxnli	newspaper	esxnli
