language	gold_label	sentence1	sentence2	promptID	pairID	genre	source_dataset
es	entailment	A ver si nos tenemos que poner todos en huelga hasta cobrar lo que queramos.	Tendremos que optar por hacer una huelga para cobrar lo que queremos.	1_esxnli	2_esxnli	newspaper	esxnli
es	contradiction	A ver si nos tenemos que poner todos en huelga hasta cobrar lo que queramos.	Queda descartada la huelga aunque no cobremos lo que queramos.	1_esxnli	3_esxnli	newspaper	esxnli
es	entailment	Profesor de FP y funcionario de carrera de la Consejería de Educación, ha sido también concejal del Ayuntamiento de Malpartida de Cáceres desde 1999, y primer teniente de alcalde desde 2007.	Se dedica a la política y a la educación.	2_esxnli	4_esxnli	newspaper	esxnli
es	neutral	Profesor de FP y funcionario de carrera de la Consejería de Educación, ha sido también concejal del Ayuntamiento de Malpartida de Cáceres desde 1999, y primer teniente de alcalde desde 2007.	Gana mucho dinero.	2_esxnli	5_esxnli	newspaper	esxnli
es	contradiction	Profesor de FP y funcionario de carrera de la Consejería de Educación, ha sido también concejal del Ayuntamiento de Malpartida de Cáceres desde 1999, y primer teniente de alcalde desde 2007.	Es alcalde.	2_esxnli	6_esxnli	newspaper	esxnli
es	entailment	Dos horas después estaba controlado, pero todavía no se sabe la causa.	Están investigando la causa del incendio.	3_esxnli	7_esxnli	newspaper	esxnli
es	neutral	Dos horas después estaba controlado, pero todavía no se sabe la causa.	Los bomberos están trabajando.	3_esxnli	8_esxnli	newspaper	esxnli
es	contradiction	Dos horas después estaba controlado, pero todavía no se sabe la causa.	El monte arde fuera de control.	3_esxnli	9_esxnli	newspaper	esxnli
es	neutral	Según esta asociación, cerca de 200.000 animales son abandonados al año en España y "muchos de ellos sufren malos tratos ".	200.000 animales son abandonados al año en España	6_esxnli	16_esxnli	newspaper	esxnli
es	contradiction	Según esta asociación, cerca de 200.000 animales son abandonados al año en España y "muchos de ellos sufren malos tratos ".	La asocación no estudia el maltrato animal.	6_esxnli	17_esxnli	newspaper	esxnli
es	entailment	Según esta asociación, cerca de 200.000 animales son abandonados al año en España y "muchos de ellos sufren malos tratos ".	Muchos animales son abandonados y maltratados.	6_esxnli	18_esxnli	newspaper	esxnli
es	entailment	La empresa no es tuya.	No puedo mandar en la empresa.	7_esxnli	19_esxnli	newspaper	esxnli
es	contradiction	La empresa no es tuya.	Voy a vender la empresa.	7_esxnli	20_esxnli	newspaper	esxnli
es	neutral	La empresa no es tuya.	Hay buen ambiente en la empresa.	7_esxnli	21_esxnli	newspaper	esxnli
es	contradiction	Así, aparecieron "de pronto" dos encapuchados, completamente tapados, disfrazados con pasamontañas y gafas de sol.	Nadie apareció encapuchado	10_esxnli	28_esxnli	newspaper	esxnli
es	neutral	Así, aparecieron "de pronto" dos encapuchados, completamente tapados, disfrazados con pasamontañas y gafas de sol.	Los encapuchados eran hombres	10_esxnli	29_esxnli	newspaper	esxnli
es	entailment	Así, aparecieron "de pronto" dos encapuchados, completamente tapados, disfrazados con pasamontañas y gafas de sol.	Los disfraces tapaban completamente la cara de los dos que aparecieron	10_esxnli	30_esxnli	newspaper	esxnli
es	neutral	Alguno incluso dice que trabajo para la CIA, otro que para el Mosad y ahora para Microsoft.	En Microsoft tengo 40 días de vacaciones.	11_esxnli	31_esxnli	newspaper	esxnli
es	entailment	Alguno incluso dice que trabajo para la CIA, otro que para el Mosad y ahora para Microsoft.	Hay gente que se inventa mi oficio.	11_esxnli	32_esxnli	newspaper	esxnli
es	contradiction	Alguno incluso dice que trabajo para la CIA, otro que para el Mosad y ahora para Microsoft.	No trabajo.	11_esxnli	33_esxnli	newspaper	esxnli
es	entailment	El técnico tiene la esperanza de que Torres vuelva a su mejor nivel.	El técnico espera que Torres mejore su nivel	12_esxnli	34_esxnli	newspaper	esxnli
es	neutral	El técnico tiene la esperanza de que Torres vuelva a su mejor nivel.	El técnico confía en que Torres recupere su nivel lo antes posible	12_esxnli	35_esxnli	newspaper	esxnli
es	contradiction	El técnico tiene la esperanza de que Torres vuelva a su mejor nivel.	El técnico no cree que Torres vuelva a su mejor nivel	12_esxnli	36_esxnli	newspaper	esxnli
es	neutral	El tercer televisivo en discordia es Paco León, el indescriptible hermano de Aída y el último descubrimiento de la pequeña pantalla en lo que cómicos se refiere.	La edades de Aída y Paco León son diferentes.	13_esxnli	37_esxnli	newspaper	esxnli
es	contradiction	El tercer televisivo en discordia es Paco León, el indescriptible hermano de Aída y el último descubrimiento de la pequeña pantalla en lo que cómicos se refiere.	Aída y Paco León no son hermanos.	13_esxnli	38_esxnli	newspaper	esxnli
es	entailment	El tercer televisivo en discordia es Paco León, el indescriptible hermano de Aída y el último descubrimiento de la pequeña pantalla en lo que cómicos se refiere.	El hermano de Aída es Paco León en el tercer televisivo.	13_esxnli	39_esxnli	newspaper	esxnli
es	contradiction	El periódico ABC estrenará el remake de la serie "P" en noviembre.	ABC censura un remake de la serie "P".	14_esxnli	40_esxnli	newspaper	esxnli
es	neutral	El periódico ABC estrenará el remake de la serie "P" en noviembre.	ABC se especializa en series.	14_esxnli	41_esxnli	newspaper	esxnli
es	entailment	El periódico ABC estrenará el remake de la serie "P" en noviembre.	ABC estrena un remake en noviembre.	14_esxnli	42_esxnli	newspaper	esxnli
es	entailment	Suerte Rosana y que recuperes pronto a Quesito.	Rosana tiene problemas con Quesito.	17_esxnli	49_esxnli	newspaper	esxnli
es	contradiction	Suerte Rosana y que recuperes pronto a Quesito.	Quesito ya está con Rosana.	17_esxnli	50_esxnli	newspaper	esxnli
es	neutral	Suerte Rosana y que recuperes pronto a Quesito.	El gato de Rosana se llama Quesito.	17_esxnli	51_esxnli	newspaper	esxnli
es	entailment	Y este buen señor con la mejor intención que habrá tenido, ha metido la pata.	A pesar de sus buenas intenciones, no ha estado acertado.	19_esxnli	55_esxnli	newspaper	esxnli
es	contradiction	Y este buen señor con la mejor intención que habrá tenido, ha metido la pata.	El señor ha estado muy acertado.	19_esxnli	57_esxnli	newspaper	esxnli
es	neutral	No fue otra cosa.	La razón fue el pinchazo del coche.	20_esxnli	58_esxnli	newspaper	esxnli
