language	gold_label	sentence1	sentence2	promptID	pairID	genre	source_dataset
es	contradiction	El primero es una suculenta indemnización ya pactada de 85 días por año trabajado, sin límite de antigüedad (la media ronda los 15 años y el salario bruto, los 1.200 euros).	La indemnización tiene límite de antigüedad.	9_esxnli	25_esxnli	newspaper	esxnli
es	entailment	El primero es una suculenta indemnización ya pactada de 85 días por año trabajado, sin límite de antigüedad (la media ronda los 15 años y el salario bruto, los 1.200 euros).	La indemnización no tiene límite de antigüedad.	9_esxnli	27_esxnli	newspaper	esxnli
es	neutral	Ahora, parece que le han dado otro papel a Mª Antonia Iglesias.	El papel anterior de Maria Antonia Iglesias fue muy pequeño.	15_esxnli	43_esxnli	newspaper	esxnli
es	contradiction	Ahora, parece que le han dado otro papel a Mª Antonia Iglesias.	Maria Antonia ya no tiene ningún papel.	15_esxnli	44_esxnli	newspaper	esxnli
es	entailment	Ahora, parece que le han dado otro papel a Mª Antonia Iglesias.	Parece que Maria Antonia Iglesias tiene un nuevo papel.	15_esxnli	45_esxnli	newspaper	esxnli
es	neutral	Y este buen señor con la mejor intención que habrá tenido, ha metido la pata.	La edad le ha jugago una mala pasada a este buen señor.	19_esxnli	56_esxnli	newspaper	esxnli
es	entailment	El vehículo se estampó contra la mediana a la altura del falso túnel de Carlos Haya, una de las zonas en las que normalmente se forman retenciones.	El vehículo tuvo un accidente contra la mediana.	22_esxnli	64_esxnli	newspaper	esxnli
es	neutral	El vehículo se estampó contra la mediana a la altura del falso túnel de Carlos Haya, una de las zonas en las que normalmente se forman retenciones.	Hubo un accidente y murieron dos personas.	22_esxnli	65_esxnli	newspaper	esxnli
es	contradiction	El vehículo se estampó contra la mediana a la altura del falso túnel de Carlos Haya, una de las zonas en las que normalmente se forman retenciones.	El vehiculo llegó a su destino sin problemas.	22_esxnli	66_esxnli	newspaper	esxnli
es	contradiction	De acuerdo en habilitar espacios para que la gente se destroce el higado sin molestar a los demás.	No se está de acuerdo en habilitar espacios para que la gente beba sin molestar a los que no beben.	23_esxnli	67_esxnli	newspaper	esxnli
es	neutral	De acuerdo en habilitar espacios para que la gente se destroce el higado sin molestar a los demás.	El botellón es legal.	23_esxnli	68_esxnli	newspaper	esxnli
es	entailment	De acuerdo en habilitar espacios para que la gente se destroce el higado sin molestar a los demás.	La gente bebe.	23_esxnli	69_esxnli	newspaper	esxnli
es	neutral	El bloqueo está visto, solo ha servido para endurecer y eternizar el régimen dictatorial (no me hablen de izquieras o derechas, que me da la risa, es una dictadura y punto).	También me da la risa con Groucho Marx.	25_esxnli	74_esxnli	newspaper	esxnli
es	entailment	Actualmente, tres de cada cuatro cerdos ibéricos puros de alimentación exclusiva con bellotas sacrificados en la última campaña son 5J.	La calidad de los cerdos ibéricos de la útlima temporada es alta.	26_esxnli	78_esxnli	newspaper	esxnli
es	neutral	De todas formas, ni el Real Mazdrid ni el Sevilla van a alcanzar al Barcelona.	El Sevilla y el Real Madrid están a la misma distancia del Barcelona.	28_esxnli	82_esxnli	newspaper	esxnli
es	entailment	De todas formas, ni el Real Mazdrid ni el Sevilla van a alcanzar al Barcelona.	El Real Madrid está por detrás del Barcelona.	28_esxnli	83_esxnli	newspaper	esxnli
es	contradiction	De todas formas, ni el Real Mazdrid ni el Sevilla van a alcanzar al Barcelona.	El Barcelona está por detrás del Sevilla.	28_esxnli	84_esxnli	newspaper	esxnli
es	contradiction	El diplomático hizo el anuncio tres días después de que el presidente de Colombia, Alvaro Uribe, pidiese a Estados Unidos ser más severo en las penas a los narcotraficantes que sean extraditados, en una inusual reprimenda del más firme aliado de Washington en América Latina.	Nadie se ha pronunciado tras las declaraciones de Uribe.	29_esxnli	86_esxnli	newspaper	esxnli
es	neutral	El diplomático hizo el anuncio tres días después de que el presidente de Colombia, Alvaro Uribe, pidiese a Estados Unidos ser más severo en las penas a los narcotraficantes que sean extraditados, en una inusual reprimenda del más firme aliado de Washington en América Latina.	El diplomático pidió perdón por la ineficiencia de los Estados Unidos.	29_esxnli	87_esxnli	newspaper	esxnli
es	neutral	En una sesión de grabación, las cosas se torcieron, según informan fuentes cercanas a la productora.	Los sucesos ocurrieron hace un mes	30_esxnli	88_esxnli	newspaper	esxnli
es	neutral	Bienvenido de nuevo al gran circo Kimi, la F1 necesita a grandes pilotos y Kimi lo es, puede ir muy rápido y a poco que el Lotus funcione Kimi estará ahí dando guerra.	Kimi formó parte del equipo de Mercedes en la campaña anterior.	31_esxnli	91_esxnli	newspaper	esxnli
es	contradiction	Bienvenido de nuevo al gran circo Kimi, la F1 necesita a grandes pilotos y Kimi lo es, puede ir muy rápido y a poco que el Lotus funcione Kimi estará ahí dando guerra.	La F1 desconfía de las habilidades de Kimi.	31_esxnli	93_esxnli	newspaper	esxnli
es	entailment	Es un pueblo encantador por su situación y elementos etnográficos, pero no nos engañemos, si das dos pasos, uno si tienes la zancada larga, ya te saliste de sus límites.	El pueblo es pequeño.	33_esxnli	97_esxnli	newspaper	esxnli
es	neutral	Es un pueblo encantador por su situación y elementos etnográficos, pero no nos engañemos, si das dos pasos, uno si tienes la zancada larga, ya te saliste de sus límites.	Las gente del pueblo es muy agradable.	33_esxnli	98_esxnli	newspaper	esxnli
es	contradiction	Es un pueblo encantador por su situación y elementos etnográficos, pero no nos engañemos, si das dos pasos, uno si tienes la zancada larga, ya te saliste de sus límites.	El pueblo no tiene ningún interés.	33_esxnli	99_esxnli	newspaper	esxnli
es	neutral	Ahora sólo funciona en Madrid, donde 116 hombres llevan un brazalete anti-maltrato.	El brazalete anti-maltrato es una herramienta efiiciente para proteger a las víctimas.	34_esxnli	100_esxnli	newspaper	esxnli
es	contradiction	En ese mismo trimestre, los dos juzgados ingresaron 965 asuntos penales y, a pesar de lograr tramitar 996 (muchos de ellos de los periodos anteriores y a fuerza de horas extra), a final de los tres meses aún había 422 pendientes, según los últimos datos del Consejo General del Poder Judicial.	Los juzgados tramitan a tiempo todos los asuntos penales que ingresan	36_esxnli	106_esxnli	newspaper	esxnli
es	entailment	En ese mismo trimestre, los dos juzgados ingresaron 965 asuntos penales y, a pesar de lograr tramitar 996 (muchos de ellos de los periodos anteriores y a fuerza de horas extra), a final de los tres meses aún había 422 pendientes, según los últimos datos del Consejo General del Poder Judicial.	Los juzgados tienen dificultades para tramitar todos los asuntos penales que ingresan	36_esxnli	107_esxnli	newspaper	esxnli
es	neutral	En ese mismo trimestre, los dos juzgados ingresaron 965 asuntos penales y, a pesar de lograr tramitar 996 (muchos de ellos de los periodos anteriores y a fuerza de horas extra), a final de los tres meses aún había 422 pendientes, según los últimos datos del Consejo General del Poder Judicial.	El Consejo General del Poder Judicial emite datos sobre los asustos penales ingresado y tramitados	36_esxnli	108_esxnli	newspaper	esxnli
es	neutral	Zlatan sabe defender la pelota, asegura.	Zlatan se apellida Ibrahimovic.	38_esxnli	112_esxnli	newspaper	esxnli
es	entailment	Ahora resulta que los catolicos nos van a dar clases de moral, cuando durante milenios han masacrado culturas, y naciones enteras, tan solo por el pinche poder y dinero. o que la no recuerdan que las Estupidas cruzadas, no fue solo una carniceria que decian libraban en nombre de dios, eso si son idioteces, y no estan imagenes que solo retoman simbolos banales.	Las clases de moral son por el poder y el dinero.	40_esxnli	118_esxnli	newspaper	esxnli
es	neutral	Ahora resulta que los catolicos nos van a dar clases de moral, cuando durante milenios han masacrado culturas, y naciones enteras, tan solo por el pinche poder y dinero. o que la no recuerdan que las Estupidas cruzadas, no fue solo una carniceria que decian libraban en nombre de dios, eso si son idioteces, y no estan imagenes que solo retoman simbolos banales.	Los católicos han masacrado culturas en bicicleta.	40_esxnli	119_esxnli	newspaper	esxnli
es	contradiction	Ahora resulta que los catolicos nos van a dar clases de moral, cuando durante milenios han masacrado culturas, y naciones enteras, tan solo por el pinche poder y dinero. o que la no recuerdan que las Estupidas cruzadas, no fue solo una carniceria que decian libraban en nombre de dios, eso si son idioteces, y no estan imagenes que solo retoman simbolos banales.	Los budistas van a dar clases de moral.	40_esxnli	120_esxnli	newspaper	esxnli
es	neutral	Pero ellas han decidido dar la cara y definen su estilo "como más práctico y más directo" que el de los hombres.	Un estilo tan práctico como el de ellas supera al de los hombres en todos los sentidos.	45_esxnli	133_esxnli	newspaper	esxnli
es	contradiction	Pero ellas han decidido dar la cara y definen su estilo "como más práctico y más directo" que el de los hombres.	El estilo de los hombres es más práctico que el de las mujeres.	45_esxnli	134_esxnli	newspaper	esxnli
es	entailment	Pero ellas han decidido dar la cara y definen su estilo "como más práctico y más directo" que el de los hombres.	El estilo de ellas es más directo que el de ellos.	45_esxnli	135_esxnli	newspaper	esxnli
es	entailment	Hoy comienza el salón Sicur en Ifema.	Madrid vuelve a acoger la feria de seguridad este año.	65_esxnli	194_esxnli	newspaper	esxnli
es	neutral	Al igual que Smithfield Market, Billingsgate Market es también lugar de visita y compra para los grandes restauradores de la ciudad.	Smithfield Market compra más productos que Billingsgate Market.	76_esxnli	226_esxnli	newspaper	esxnli
es	entailment	Al igual que Smithfield Market, Billingsgate Market es también lugar de visita y compra para los grandes restauradores de la ciudad.	Hay al menos dos mercados que compran para los grandes restauradores de la ciudad.	76_esxnli	227_esxnli	newspaper	esxnli
es	contradiction	Al igual que Smithfield Market, Billingsgate Market es también lugar de visita y compra para los grandes restauradores de la ciudad.	Actualmente, Smithfield Market no compra para los grandes restauradores de la ciudad.	76_esxnli	228_esxnli	newspaper	esxnli
es	neutral	Despúes del infierno que nos hicieron pasar en el pedregal ese que osaron llamar "parque" ahora se lucen teniendo que buscarse la vida uno como un gilipoyas para conseguir entradas para 1 día!!!	Había mucha gente en el parque.	81_esxnli	241_esxnli	newspaper	esxnli
